sha256,triage_file_type,triage_label,triage_confidence,triage_arch,triage_linkage,triage_tags_str,angr_basic_blocks,angr_cfg_time,angr_complexity_tier,angr_cyclomatic_complexity,angr_edges,angr_file_path_count,angr_function_count,angr_functions_recovered,angr_go_runtime_functions,angr_go_user_functions,angr_has_crypto,angr_has_evasion,angr_has_file_manipulation,angr_has_mining,angr_has_network,angr_has_persistence,angr_has_process_control,angr_has_shell_execution,angr_ip_count,angr_is_go,angr_is_partial,angr_loaded_as_blob,angr_mining_indicator_count,angr_shell_cmd_count,angr_syscalls_file_io,angr_syscalls_memory,angr_syscalls_network,angr_syscalls_process,angr_syscalls_unknown,angr_url_count,angr_user_functions_listed,deep_func_ratio_angr_ghidra,deep_is_go_consensus,deep_max_complexity,deep_mining_signal_count,deep_total_crypto_indicators,deep_total_evasion_indicators,deep_total_network_indicators,ghidra_avg_callers,ghidra_crypto_wallet_count,ghidra_file_path_count,ghidra_function_count,ghidra_go_runtime_functions,ghidra_go_user_functions,ghidra_has_aes_sbox,ghidra_has_rc4_state,ghidra_has_sha256_constants,ghidra_has_xor_loop,ghidra_imports_crypto,ghidra_imports_evasion,ghidra_imports_file_io,ghidra_imports_info_gathering,ghidra_imports_network,ghidra_imports_persistence,ghidra_imports_process,ghidra_ip_count,ghidra_is_go,ghidra_max_callers,ghidra_max_function_size,ghidra_mining_pool_count,ghidra_registry_key_count,ghidra_shell_cmd_count,ghidra_total_basic_blocks,ghidra_total_instructions,ghidra_url_count,has_angr_results,has_ghidra_results,has_script_results,script_arch_count,script_chmod_count,script_dd_count,script_download_count,script_has_anti_forensics,script_has_persistence,script_has_self_deletion,script_ip_count,script_is_downloader,script_is_miner,script_is_multi_arch,script_kill_count,script_line_count,script_path_count,script_port_count,script_rm_count,script_url_count,triage_entropy,triage_file_size,triage_is_dll,triage_is_go,triage_is_packed,triage_is_static,triage_is_stripped,triage_priority,triage_score_botnet,triage_score_destructive,triage_score_mining,triage_score_recon
0012d55d82f4afe476f1e42ba437dd1b03785e59b1759437c8fc6d27a3c8b884,script,unknown_script,low,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.7494,204,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0
00c9c6183c973b3f487ba67d953788025099f9b1f0e2b341d1a1267fdc900434,script,downloader,high,unknown,unknown,downloader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,12,12,0,12,1.0,0.0,1.0,1,1.0,0.0,1.0,0,15,12,1,2,12,4.8939,1305,0.0,0.0,0.0,0.0,0.0,51,0,0,0,0
00e60c65cbb130fe231df663d4aa44e3a481f80303323526f36d7b58ffe11684,script,unknown_script,low,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.7494,204,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,script,unknown_script,low,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0
03d4a05c759efd4df78bf09b0a84f888e6ea86a0877c8e1ab0ce032fe909ec6c,script,miner,high,unknown,unknown,downloader|mining|persistence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,1,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0,1,0,1,0.0,1.0,0.0,0,1.0,1.0,0.0,0,324,7,0,3,4,5.2475,11037,0.0,0.0,0.0,0.0,0.0,48,0,0,0,0
048e374baac36d8cf68dd32e48313ef8eb517d647548b1bf5f26d2d0e2e3cdc7,elf,packed_unknown,low,EM_386,static,high_entropy|statically_linked,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,18,0,0.0,1.0,1,1.21,0,0,14,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,3,337,0,0,0,18,725,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,7.9999,1748196,0.0,0.0,0.0,1.0,1.0,63,0,0,0,0
04ae52d38391cb757af163806a4f8d7e239325894f14105a260c589353d1d965,pe,miner,medium,i386,unknown,botnet|dll|mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,6.3994,5267459,1.0,0.0,0.0,0.0,0.0,53,0,0,0,0
06397866c0315d894b742ff60416ca0c734344d9586752a6ee35279bb2907cd0,pe,miner,medium,i386,unknown,botnet|dll|mining|recon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,4.6884,5267459,1.0,0.0,0.0,0.0,0.0,56,0,0,0,0
079fef975c5c02792d0fbf7ffb61471ad3ff550b33c0af730f78a9865a4d3f50,elf,miner,high,EM_X86_64,dynamic,botnet|credential_access|mining|persistence|recon,173382,843.9,4,180139,302821,32,25350,25350,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,21,0.0,0.0,1.0,2,3,0,0,0,0,0,7,550,27.887788778877887,0.0,180139,3,1.0,1.0,30,8.46,0,1,909,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,769,6955,11,0,0,1225,292114,2,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,6.2475,16384000,0.0,0.0,0.0,0.0,1.0,75,0,0,0,0
08a69e8b4ae7660c97057109c4077577832f5b9a2c6c6d7e5e804aceb0aea39b,elf,miner,high,EM_X86_64,dynamic,botnet|credential_access|mining|persistence|recon,173382,908.6,4,180139,302821,32,25350,25350,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,21,0.0,0.0,1.0,2,3,0,0,0,0,0,7,550,27.887788778877887,0.0,180139,3,1.0,1.0,30,8.46,0,1,909,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,769,6955,11,0,0,1225,292114,2,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,6.2473,17661952,0.0,0.0,0.0,0.0,1.0,75,0,0,0,0
096183421f1bf838acdb254659e7ff36206cfba09038ae242cfafcbde92153d8,script,unknown_script,low,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.7457,204,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0
0b04ff10f3a35c1da028aa49db825466226bc9b7c651c1bee7d784d9f741fbae,pe,miner,medium,i386,unknown,botnet|dll|mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,4.3062,5267459,1.0,0.0,0.0,0.0,0.0,56,0,0,0,0
0b387a8ae1b8fe8e90268e088ef5af18c33ad5e251a8e0dd8ffb34c0c09c6fe9,script,unknown_script,low,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.7481,204,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0
0e665ab2b0a1d700e9cc2c94022e9fb9ed7eb9ec8210c057bf938bc62eb95467,pe,miner,medium,i386,unknown,botnet|dll|mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,6.4119,5267459,1.0,0.0,0.0,0.0,0.0,56,0,0,0,0
0f6966bada6e20ae6a8631d066252ca1261f2122d064878e6b4c85e4d4a4e183,elf,recon_scanner,low,EM_X86_64,dynamic,recon,137572,532.2,4,152268,272948,4,8446,8446,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,549,100.0,0.0,152268,0,1.0,1.0,0,1.0,0,1,1,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,1,31,0,0,0,2,31,0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,6.1552,2818048,0.0,0.0,0.0,0.0,1.0,43,0,0,0,0
0f92a70771f4cb596c63cb9b1a842facd4a672f7092bdb929bf009dfe4605358,script,unknown_script,low,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.7457,204,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0
10e43894490d98a91f3d409a83d984556d619e91782333033ad3d7fb1b9def8b,elf,botnet_dropper,high,EM_386,static,botnet|persistence|recon|statically_linked,29985,40.9,3,29258,54025,47,2609,2609,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0,3,19,6,1,6,38,1,509,2.006923076923077,0.0,29258,0,0.0,0.0,6,4.65,0,38,1300,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0.0,277,22341,0,0,4,1951,412345,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,6.1973,548616,0.0,0.0,0.0,1.0,0.0,64,0,0,0,0
