session_id,src_ip,num_commands,duration_sec,commands,label_id,label_name,mitre_features,triage_features,change_features,num_downloads,download_shas,binary_type,system_changes_summary,mitre_tactic_reconnaissance,mitre_tactic_resource_development,mitre_tactic_initial_access,mitre_tactic_execution,mitre_tactic_persistence,mitre_tactic_privilege_escalation,mitre_tactic_defense_evasion,mitre_tactic_credential_access,mitre_tactic_discovery,mitre_tactic_lateral_movement,mitre_tactic_collection,mitre_tactic_command_and_control,mitre_tactic_exfiltration,mitre_tactic_impact,mitre_severity_max,mitre_severity_mean,mitre_severity_weighted,mitre_kill_chain_score,mitre_unique_technique_count,mitre_total_commands,mitre_matched_commands,triage_file_size,triage_entropy,triage_priority,triage_is_go,triage_is_packed,triage_is_stripped,triage_is_dll,triage_is_static,triage_score_mining,triage_score_botnet,triage_score_recon,triage_score_destructive,ghidra_function_count,ghidra_total_instructions,ghidra_total_basic_blocks,ghidra_max_function_size,ghidra_avg_callers,ghidra_max_callers,ghidra_mining_pool_count,ghidra_crypto_wallet_count,ghidra_ip_count,ghidra_url_count,ghidra_shell_cmd_count,ghidra_file_path_count,ghidra_imports_file_io,ghidra_imports_process,ghidra_imports_network,ghidra_imports_crypto,ghidra_imports_evasion,ghidra_has_aes_sbox,ghidra_has_sha256_constants,ghidra_has_rc4_state,ghidra_has_xor_loop,ghidra_go_user_functions,ghidra_go_runtime_functions,angr_basic_blocks,angr_edges,angr_functions_recovered,angr_cyclomatic_complexity,angr_function_count,angr_user_functions_listed,angr_syscalls_network,angr_syscalls_file_io,angr_syscalls_process,angr_syscalls_memory,angr_ip_count,angr_url_count,angr_mining_indicator_count,angr_shell_cmd_count,angr_has_network,angr_has_file_manipulation,angr_has_process_control,angr_has_crypto,angr_has_mining,angr_has_persistence,angr_has_evasion,angr_has_shell_execution,angr_complexity_tier,angr_is_partial,angr_loaded_as_blob,script_line_count,script_url_count,script_download_count,script_arch_count,script_is_downloader,script_is_multi_arch,script_is_miner,script_has_persistence,script_has_anti_forensics,has_ghidra_results,has_angr_results,has_script_results,deep_func_ratio_angr_ghidra,deep_mining_signal_count,deep_total_network_indicators,deep_total_crypto_indicators,deep_max_complexity,deep_total_evasion_indicators,deep_is_go_consensus
synthetic_safe_872246,27.44.216.9,5,45.45869113130371,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /services HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 5, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list, normal web server behavior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_671412,108.112.229.151,10,341.04694279448864,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about.html HTTP/1.1; GET /contact.html HTTP/1.1; GET /blog HTTP/1.1; GET /services HTTP/1.1; GET /careers HTTP/1.1; GET /faq HTTP/1.1; GET /privacy-policy HTTP/1.1; GET /terms-of-service HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 10, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_325772,196.172.52.24,10,462.11348775843146,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /services HTTP/1.1; GET /blog HTTP/1.1; GET /faq HTTP/1.1; GET /privacy HTTP/1.1; GET /terms HTTP/1.1; GET /sitemap HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 10, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_581741,138.63.193.21,11,666.9283512151401,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /blog HTTP/1.1; GET /services HTTP/1.1; GET /faq HTTP/1.1; GET /privacy HTTP/1.1; GET /terms HTTP/1.1; GET /sitemap.xml HTTP/1.1; GET /robots.txt HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 11, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"normal web server queries, no file read/write, no process execution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_793384,59.148.40.219,58,287.0211547696259,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /services HTTP/1.1; GET /blog HTTP/1.1; GET /faq HTTP/1.1; GET /privacy HTTP/1.1; GET /terms HTTP/1.1; GET /login HTTP/1.1; GET /register HTTP/1.1; GET /dashboard HTTP/1.1; GET /profile HTTP/1.1; GET /settings HTTP/1.1; GET /history HTTP/1.1; GET /logs HTTP/1.1; GET /system HTTP/1.1; GET /status HTTP/1.1; GET /uptime HTTP/1.1; GET /version HTTP/1.1; GET /ip HTTP/1.1; GET /time HTTP/1.1; GET /date HTTP/1.1; GET /weather HTTP/1.1; GET /news HTTP/1.1; GET /stocks HTTP/1.1; GET /crypto HTTP/1.1; GET /finance HTTP/1.1; GET /shopping HTTP/1.1; GET /store HTTP/1.1; GET /market HTTP/1.1; GET /inventory HTTP/1.1; GET /catalog HTTP/1.1; GET /products HTTP/1.1; GET /categories HTTP/1.1; GET /tags HTTP/1.1; GET /reviews HTTP/1.1; GET /ratings HTTP/1.1; GET /comments HTTP/1.1; GET /messages HTTP/1.1; GET /notifications HTTP/1.1; GET /events HTTP/1.1; GET /calendar HTTP/1.1; GET /schedule HTTP/1.1; GET /tasks HTTP/1.1; GET /projects HTTP/1.1; GET /todos HTTP/1.1; GET /logs HTTP/1.1; GET /error HTTP/1.1; GET /404 HTTP/1.1; GET /500 HTTP/1.1; GET /502 HTTP/1.1; GET /503 HTTP/1.1; GET /504 HTTP/1.1; GET /maintenance HTTP/1.1; GET /status HTTP/1.1; GET /health HTTP/1.1;,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 57, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_835911,175.36.87.137,3,877.6608895609155,GET /index.html HTTP/1.1; GET /login.php HTTP/1.1; POST /api/upload HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 3, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 59490.70041076727, 'triage_entropy': 6.055947206220184, 'triage_priority': 64.49791109850801, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 1.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,miner|botnet|downloader|rat|credential_stealer|packed|destructive|ransomware|go_binary|none,brief description of system changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_821590,143.112.166.216,10,924.2931573349229,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /services HTTP/1.1; GET /blog HTTP/1.1; GET /privacy HTTP/1.1; GET /terms HTTP/1.1; GET /sitemap HTTP/1.1; GET /robots.txt HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 10, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list, normal web server activity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_321231,146.161.108.168,41,604.08519879581,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /services HTTP/1.1; GET /blog HTTP/1.1; GET /faq HTTP/1.1; GET /privacy HTTP/1.1; GET /terms HTTP/1.1; GET /robots.txt HTTP/1.1; GET /sitemap.xml HTTP/1.1; GET /favicon.ico HTTP/1.1; GET /css/style.css HTTP/1.1; GET /js/scripts.js HTTP/1.1; GET /images/logo.png HTTP/1.1; GET /images/banner.jpg HTTP/1.1; GET /images/icon.png HTTP/1.1; GET /images/avatar.jpg HTTP/1.1; GET /images/photo.jpg HTTP/1.1; GET /images/image.jpg HTTP/1.1; GET /images/photo1.jpg HTTP/1.1; GET /images/photo2.jpg HTTP/1.1; GET /images/photo3.jpg HTTP/1.1; GET /images/photo4.jpg HTTP/1.1; GET /images/photo5.jpg HTTP/1.1; GET /images/photo6.jpg HTTP/1.1; GET /images/photo7.jpg HTTP/1.1; GET /images/photo8.jpg HTTP/1.1; GET /images/photo9.jpg HTTP/1.1; GET /images/photo10.jpg HTTP/1.1; GET /images/photo11.jpg HTTP/1.1; GET /images/photo12.jpg HTTP/1.1; GET /images/photo13.jpg HTTP/1.1; GET /images/photo14.jpg HTTP/1.1; GET /images/photo15.jpg HTTP/1.1; GET /images/photo16.jpg HTTP/1.1; GET /images/photo17.jpg HTTP/1.1; GET /images/photo18.jpg HTTP/1.1; GET /images/photo19.jpg HTTP/1.1; GET /images/photo20.jpg HTTP/1.1;,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 1, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 4, 'mitre_severity_mean': 4.0, 'mitre_severity_weighted': 16.0, 'mitre_kill_chain_score': 1, 'mitre_unique_technique_count': 1, 'mitre_total_commands': 40, 'mitre_matched_commands': 1, 'mitre_severity_tier': 'medium', 'mitre_technique_ids': 'T1049'}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_688637,138.134.219.230,43,704.4041806853309,GET / HTTP/1.1; GET /index.html HTTP/1.1; GET /about HTTP/1.1; GET /contact HTTP/1.1; GET /blog HTTP/1.1; GET /services HTTP/1.1; GET /products HTTP/1.1; GET /faq HTTP/1.1; GET /login HTTP/1.1; GET /register HTTP/1.1; GET /help HTTP/1.1; GET /terms HTTP/1.1; GET /privacy HTTP/1.1; GET /sitemap HTTP/1.1; GET /robots.txt HTTP/1.1; GET /css/style.css HTTP/1.1; GET /js/script.js HTTP/1.1; GET /images/logo.png HTTP/1.1; GET /images/banner.jpg HTTP/1.1; GET /images/icon.ico HTTP/1.1; GET /fonts/fontawesome.css HTTP/1.1; GET /fonts/iconfont.ttf HTTP/1.1; GET /api/status HTTP/1.1; GET /api/data HTTP/1.1; GET /api/stats HTTP/1.1; GET /api/logs HTTP/1.1; GET /api/user HTTP/1.1; GET /api/settings HTTP/1.1; GET /api/help HTTP/1.1; GET /api/contact HTTP/1.1; GET /api/support HTTP/1.1; GET /api/documentation HTTP/1.1; GET /api/status HTTP/1.1; GET /api/data HTTP/1.1; GET /api/stats HTTP/1.1; GET /api/logs HTTP/1.1; GET /api/user HTTP/1.1; GET /api/settings HTTP/1.1; GET /api/help HTTP/1.1; GET /api/contact HTTP/1.1; GET /api/support HTTP/1.1; GET /api/documentation HTTP/1.1;,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 1, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 4, 'mitre_severity_mean': 4.0, 'mitre_severity_weighted': 16.0, 'mitre_kill_chain_score': 1, 'mitre_unique_technique_count': 1, 'mitre_total_commands': 42, 'mitre_matched_commands': 2, 'mitre_severity_tier': 'medium', 'mitre_technique_ids': 'T1049'}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"file read, process list",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic_safe_214975,40.81.216.153,10,85.59797032082899,GET /index.html HTTP/1.1; GET /about.html HTTP/1.1; GET /contact.html HTTP/1.1; GET /products.html HTTP/1.1; GET /services.html HTTP/1.1; GET /blog.html HTTP/1.1; GET /faq.html HTTP/1.1; GET /privacy.html HTTP/1.1; GET /terms.html HTTP/1.1; GET /search?q=web+security HTTP/1.1,0,Safe,"{'mitre_tactic_reconnaissance': 0, 'mitre_tactic_resource_development': 0, 'mitre_tactic_initial_access': 0, 'mitre_tactic_execution': 0, 'mitre_tactic_persistence': 0, 'mitre_tactic_privilege_escalation': 0, 'mitre_tactic_defense_evasion': 0, 'mitre_tactic_credential_access': 0, 'mitre_tactic_discovery': 0, 'mitre_tactic_lateral_movement': 0, 'mitre_tactic_collection': 0, 'mitre_tactic_command_and_control': 0, 'mitre_tactic_exfiltration': 0, 'mitre_tactic_impact': 0, 'mitre_severity_max': 0, 'mitre_severity_mean': 0.0, 'mitre_severity_weighted': 0.0, 'mitre_kill_chain_score': 0, 'mitre_unique_technique_count': 0, 'mitre_total_commands': 10, 'mitre_matched_commands': 0, 'mitre_severity_tier': 'none', 'mitre_technique_ids': ''}","{'triage_file_size': 0.0, 'triage_entropy': 0.0, 'triage_priority': 0.0, 'triage_is_go': 0.0, 'triage_is_packed': 0.0, 'triage_is_stripped': 0.0, 'triage_is_dll': 0.0, 'triage_is_static': 0.0, 'triage_score_mining': 0.0, 'triage_score_botnet': 0.0, 'triage_score_recon': 0.0, 'triage_score_destructive': 0.0, 'triage_ghidra_score': 0.0, 'triage_angr_score': 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,,none,"web directory enumeration, basic Linux discovery, benign queries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
